196,sUSD,SUSD,"$109,618,248 ",$1.00 ,"109,132,799 SUSD *","$19,376,184 ",-0.04%,-0.04%,-0.84%,
150,SushiSwap,SUSHI,"$183,349,128 ",$1.44 ,"127,244,443 SUSHI *","$59,928,535 ",0.00%,-7.97%,1.66%,
147,SwissBorg,CHSB,"$196,138,801 ",$0.20 ,"1,000,000,000 CHSB *","$391,083 ",0.13%,-2.98%,0.12%,
137,SXP,SXP,"$221,037,946 ",$0.45 ,"493,617,819 SXP *","$30,691,122 ",0.12%,-5.73%,2.84%,
113,Symbol,XYM,"$310,080,682 ",$0.06 ,"5,582,460,005 XYM *","$10,514,000 ",-0.06%,-2.90%,-0.94%,
92,Synthetix,SNX,"$438,864,740 ",$3.82 ,"114,841,533 SNX *","$83,607,583 ",0.52%,-6.72%,-5.60%,
182,Syscoin,SYS,"$122,895,699 ",$0.19 ,"657,185,313 SYS","$3,806,793 ",-0.48%,-2.36%,2.22%,
118,TerraClassicUSD,USTC,"$288,162,316 ",$0.03 ,"9,815,491,921 USTC *","$10,644,898 ",0.08%,-8.19%,-14.80%,
3,Tether,USDT,"$66,487,324,065 ",$1.00 ,"66,476,525,454 USDT *","$47,593,596,587 ",0.00%,0.00%,0.00%,
38,Tezos,XTZ,"$1,620,225,581 ",$1.79 ,"904,637,050 XTZ *","$41,883,579 ",0.28%,-4.91%,1.40%,
53,The Graph,GRT,"$965,392,000 ",$0.14 ,"6,900,000,000 GRT *","$352,044,086 ",1.71%,-6.69%,13.64%,
37,The Sandbox,SAND,"$1,656,151,901 ",$1.29 ,"1,284,059,808 SAND *","$322,812,625 ",0.05%,-4.07%,-1.47%,
109,Theta Fuel,TFUEL,"$330,035,639 ",$0.06 ,"5,301,214,400 TFUEL *","$14,571,926 ",-0.36%,-4.88%,-0.06%,
40,Theta Network,THETA,"$1,529,483,049 ",$1.53 ,"1,000,000,000 THETA *","$92,989,891 ",0.59%,-5.61%,7.78%,
58,THORChain,RUNE,"$891,975,392 ",$2.70 ,"330,688,061 RUNE *","$152,691,319 ",-0.22%,-7.96%,2.25%,
16,TRON,TRX,"$6,360,324,508 ",$0.07 ,"92,413,677,310 TRX *","$372,119,723 ",0.40%,-1.85%,-0.65%,
45,TrueUSD,TUSD,"$1,207,864,050 ",$1.00 ,"1,207,559,026 TUSD *","$769,649,823 ",0.04%,0.05%,-0.02%,
88,Trust Wallet Token,TWT,"$459,827,609 ",$1.10 ,"416,649,900 TWT *","$14,317,874 ",0.24%,-5.31%,11.77%,
200,Ultra,UOS,"$103,734,538 ",$0.34 ,"303,793,578 UOS *","$1,648,381 ",0.77%,1.77%,10.74%,
143,UMA,UMA,"$201,588,547 ",$2.93 ,"68,715,028 UMA *","$14,615,421 ",-0.01%,-4.20%,-3.46%,
17,Uniswap,UNI,"$6,152,813,720 ",$8.25 ,"745,590,771 UNI *","$172,087,831 ",0.30%,-6.82%,-4.17%,
20,UNUS SED LEO,LEO,"$4,514,615,477 ",$4.73 ,"953,954,130 LEO *","$4,037,561 ",-0.11%,-2.24%,-5.34%,
4,USD Coin,USDC,"$54,190,015,198 ",$1.00 ,"54,198,114,090 USDC *","$7,157,379,306 ",-0.03%,-0.03%,-0.03%,
63,USDD,USDD,"$745,357,296 ",$1.00 ,"745,332,144 USDD *","$57,965,211 ",0.01%,0.00%,-0.17%,
32,VeChain,VET,"$2,192,520,652 ",$0.03 ,"72,511,146,418 VET *","$101,804,878 ",0.15%,-4.62%,7.66%,
70,Waves,WAVES,"$629,891,115 ",$5.78 ,"109,015,816 WAVES *","$264,040,417 ",-0.10%,-6.35%,-1.49%,
132,WAX,WAXP,"$238,663,483 ",$0.11 ,"2,125,640,020 WAXP *","$18,098,772 ",-0.20%,-3.00%,-7.80%,
177,WINkLink,WIN,"$131,846,791 ",$0.00 ,"961,737,300,000 WIN *","$33,369,561 ",0.03%,-4.74%,-12.50%,
123,WOO Network,WOO,"$264,855,205 ",$0.23 ,"1,128,987,992 WOO *","$44,926,378 ",0.83%,-6.29%,9.87%,
18,Wrapped Bitcoin,WBTC,"$5,557,295,752 ","$23,077.67 ","240,808 WBTC *","$177,677,728 ",-0.06%,-3.57%,-1.09%,
99,XDC Network,XDC,"$407,973,814 ",$0.03 ,"12,305,012,699 XDC *","$4,690,553 ",0.22%,2.20%,14.05%,
7,XRP,XRP,"$17,621,226,568 ",$0.36 ,"48,343,101,197 XRP *","$4,123,551,633 ",-0.06%,-4.00%,-3.42%,
191,XYO,XYO,"$112,620,365 ",$0.01 ,"12,844,821,266 XYO *","$1,361,224 ",-0.65%,-3.34%,-4.55%,
100,yearn.finance,YFI,"$402,779,250 ","$10,993.57 ","36,638 YFI *","$67,138,448 ",0.26%,-4.49%,-5.25%,
47,Zcash,ZEC,"$1,140,190,807 ",$75.99 ,"15,005,225 ZEC","$208,379,126 ",-0.49%,4.10%,21.53%,
78,Zilliqa,ZIL,"$566,853,140 ",$0.04 ,"13,146,479,527 ZIL","$175,711,940 ",0.15%,-5.18%,1.62%,
